Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,1.688,16.6181,0.8097,1.6349,26.929022,6.06977,62.31394
FCR,2016,2016-05-16 12:00:00,1.688,16.6182,0.8249,1.6377,26.938492,6.06975,62.31382
FCR,2016,2016-05-16 12:00:00,1.688,16.6179,0.8466,1.6352,26.965742,6.06212,62.2351
FCR,2016,2016-05-16 12:00:00,1.688,16.6173,0.8724,1.6336,27.002007,6.04895,62.09916
FCR,2016,2016-05-16 12:00:00,1.688,16.6162,0.8933,1.6326,27.008868,6.04016,62.00746
FCR,2016,2016-05-16 12:00:00,1.688,16.6147,0.9059,1.6272,26.978134,6.03046,61.90591
FCR,2016,2016-05-16 12:00:00,1.689,16.6129,0.9107,1.6184,26.94369,6.03041,61.90307
FCR,2016,2016-05-16 12:00:00,1.688,16.6109,0.9079,1.6141,26.918393,6.02164,61.81047
FCR,2016,2016-05-16 12:00:00,1.688,16.6089,0.9011,1.6166,26.903513,6.00503,61.63736
FCR,2016,2016-05-16 12:00:00,1.688,16.607,0.8961,1.6197,26.911113,6.00117,61.59527
FCR,2016,2016-05-16 12:00:00,1.688,16.6054,0.895,1.6218,26.935204,5.99319,61.51132
FCR,2016,2016-05-16 12:00:00,1.688,16.6039,0.9,1.6226,26.946141,5.98684,61.44422
FCR,2016,2016-05-16 12:00:00,1.688,16.6027,0.9096,1.6197,26.952851,5.98384,61.41186
FCR,2016,2016-05-16 12:00:00,1.688,16.6019,0.9155,1.6183,26.981172,5.98186,61.39052
FCR,2016,2016-05-16 12:00:00,1.689,16.6013,0.9148,1.6237,27.012604,5.97327,61.30159
FCR,2016,2016-05-16 12:00:00,1.688,16.601,0.9076,1.6292,27.029479,5.96789,61.24599
FCR,2016,2016-05-16 12:00:00,1.688,16.6009,0.8951,1.6294,27.032291,5.9587,61.1516
FCR,2016,2016-05-16 12:00:00,1.689,16.6012,0.8836,1.6302,27.019785,5.95112,61.07417
FCR,2016,2016-05-16 12:00:00,1.689,16.6015,0.874,1.6341,26.996642,5.9451,61.01276
FCR,2016,2016-05-16 12:00:00,1.688,16.6017,0.8619,1.633,26.978732,5.94544,61.01651
FCR,2016,2016-05-16 12:00:00,1.688,16.6016,0.8495,1.6277,26.975305,5.94155,60.9765
FCR,2016,2016-05-16 12:00:00,1.688,16.6013,0.845,1.627,26.965411,5.9416,60.97658
FCR,2016,2016-05-16 12:00:00,1.688,16.601,0.8507,1.6251,26.944406,5.94264,60.98692
FCR,2016,2016-05-16 12:00:00,1.688,16.6006,0.8657,1.6215,26.934743,5.94201,60.97988
FCR,2016,2016-05-16 12:00:00,1.689,16.6004,0.8938,1.6232,26.943865,5.9403,60.9621
FCR,2016,2016-05-16 12:00:00,1.689,16.6003,0.9301,1.6238,26.96218,5.9387,60.94557
FCR,2016,2016-05-16 12:00:00,1.689,16.6003,0.957,1.6177,26.972532,5.93985,60.95738
FCR,2016,2016-05-16 12:00:00,1.69,16.6003,0.9705,1.6113,26.977679,5.94242,60.98372
FCR,2016,2016-05-16 12:00:00,1.689,16.6004,0.9766,1.6099,26.985006,5.94013,60.96037
FCR,2016,2016-05-16 12:00:00,1.687,16.6007,0.9772,1.6073,26.97643,5.94229,60.98289
FCR,2016,2016-05-16 12:00:00,1.685,16.6012,0.9714,1.6027,26.955674,5.94109,60.97119
FCR,2016,2016-05-16 12:00:00,1.685,16.6018,0.9578,1.6041,26.943253,5.94199,60.9812
FCR,2016,2016-05-16 12:00:00,1.687,16.6025,0.932,1.6097,26.925836,5.93881,60.94946
FCR,2016,2016-05-16 12:00:00,1.689,16.6033,0.8991,1.6129,26.900782,5.92816,60.84118
FCR,2016,2016-05-16 12:00:00,1.689,16.6042,0.8773,1.6157,26.893471,5.9213,60.77191
FCR,2016,2016-05-16 12:00:00,1.688,16.6053,0.8724,1.6222,26.905961,5.91868,60.74646
FCR,2016,2016-05-16 12:00:00,1.687,16.6064,0.8818,1.6285,26.919542,5.91767,60.73749
FCR,2016,2016-05-16 12:00:00,1.687,16.6076,0.901,1.6316,26.939838,5.91276,60.68868
FCR,2016,2016-05-16 12:00:00,1.688,16.6087,0.9205,1.6336,26.974264,5.9071,60.63198
FCR,2016,2016-05-16 12:00:00,1.687,16.6097,0.9358,1.6305,26.997937,5.90667,60.62877
FCR,2016,2016-05-16 12:00:00,1.688,16.6106,0.9478,1.6201,26.999135,5.89871,60.54824
FCR,2016,2016-05-16 12:00:00,1.687,16.6112,0.9602,1.6113,26.988197,5.89137,60.47365
FCR,2016,2016-05-16 12:00:00,1.687,16.6117,0.9742,1.605,26.984247,5.8879,60.43867
FCR,2016,2016-05-16 12:00:00,1.687,16.6119,0.9848,1.5974,26.990241,5.87923,60.34991
FCR,2016,2016-05-16 12:00:00,1.687,16.6121,0.9895,1.5921,26.987737,5.8788,60.34575
FCR,2016,2016-05-16 12:00:00,1.687,16.6122,0.9907,1.5889,26.982081,5.88193,60.37805
FCR,2016,2016-05-16 12:00:00,1.687,16.6122,0.99,1.588,26.991802,5.88403,60.39955
FCR,2016,2016-05-16 12:00:00,1.688,16.6121,0.9872,1.5904,27.009474,5.89094,60.47044
FCR,2016,2016-05-16 12:00:00,1.687,16.612,0.9824,1.5945,27.023778,5.9118,60.68443
FCR,2016,2016-05-16 12:00:00,1.687,16.6117,0.9745,1.5989,27.028509,5.9468,61.04331
FCR,2016,2016-05-16 12:00:00,1.687,16.6111,0.9652,1.6014,27.010903,6.00458,61.63567
FCR,2016,2016-05-16 12:00:00,1.688,16.61,0.9602,1.6074,26.98029,6.09613,62.57391
FCR,2016,2016-05-16 12:00:00,1.69,16.6083,0.9615,1.6172,26.958565,6.23685,64.01602
FCR,2016,2016-05-16 12:00:00,1.693,16.6054,0.9682,1.6243,26.957969,6.41703,65.86142
FCR,2016,2016-05-16 12:00:00,1.696,16.601,0.9769,1.6271,26.982352,6.66649,68.41549
FCR,2016,2016-05-16 12:00:00,1.698,16.594,0.9825,1.6231,27.022185,6.97329,71.55348
FCR,2016,2016-05-16 12:00:00,1.693,16.5833,0.9833,1.6121,27.056027,7.31793,75.07298
FCR,2016,2016-05-16 12:00:00,1.671,16.5685,0.9779,1.5972,27.07487,7.6677,78.63676
FCR,2016,2016-05-16 12:00:00,1.645,16.5501,0.9652,1.5833,27.083739,7.9896,81.90638
FCR,2016,2016-05-16 12:00:00,1.622,16.5284,0.9473,1.5749,27.093012,8.27658,84.80964
FCR,2016,2016-05-16 12:00:00,1.591,16.5042,0.9267,1.5743,27.107168,8.50321,87.08758
FCR,2016,2016-05-16 12:00:00,1.558,16.4797,0.9025,1.5836,27.111946,8.65538,88.60029
FCR,2016,2016-05-16 12:00:00,1.531,16.4561,0.8687,1.596,27.116636,8.73915,89.41342
FCR,2016,2016-05-16 12:00:00,1.482,16.4334,0.8278,1.6036,27.126496,8.75631,89.54614
