Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,5.351,11.2925,0.1706,3.5929,17.554,12.73665,116.40004
SHR,2015,2015-05-08 12:00:00,5.389,11.2106,0.2143,3.3697,17.681,12.74671,116.27208
SHR,2015,2015-05-08 12:00:00,5.42,11.1411,0.2063,3.3182,17.783,12.74174,116.04039
SHR,2015,2015-05-08 12:00:00,5.45,11.0819,0.1944,3.3697,17.879,12.75063,115.96247
SHR,2015,2015-05-08 12:00:00,5.472,11.0306,0.2103,3.3354,17.954,12.74829,115.80364
SHR,2015,2015-05-08 12:00:00,5.494,10.9855,0.1706,3.3525,18.024,12.74828,115.68267
SHR,2015,2015-05-08 12:00:00,5.519,10.9452,0.1865,3.301,18.106,12.75574,115.6423
SHR,2015,2015-05-08 12:00:00,5.545,10.9082,0.1825,3.3525,18.192,12.75767,115.56057
SHR,2015,2015-05-08 12:00:00,5.568,10.8732,0.1984,3.3354,18.269,12.75539,115.44612
SHR,2015,2015-05-08 12:00:00,5.592,10.8385,0.2024,3.3697,18.345,12.75164,115.31926
SHR,2015,2015-05-08 12:00:00,5.613,10.8036,0.1786,3.3525,18.414,12.74558,115.17107
SHR,2015,2015-05-08 12:00:00,5.633,10.7685,0.2063,3.4555,18.479,12.74936,115.11126
SHR,2015,2015-05-08 12:00:00,5.655,10.7337,0.2103,3.3182,18.552,12.73954,114.92958
SHR,2015,2015-05-08 12:00:00,5.687,10.6997,0.1786,3.3697,18.659,12.73032,114.75561
SHR,2015,2015-05-08 12:00:00,5.721,10.6672,0.1944,3.404,18.77,12.71655,114.54477
SHR,2015,2015-05-08 12:00:00,5.752,10.6367,0.2024,3.3354,18.871,12.69707,114.28809
SHR,2015,2015-05-08 12:00:00,5.782,10.6083,0.1944,3.3354,18.969,12.67494,114.01328
SHR,2015,2015-05-08 12:00:00,5.812,10.5815,0.1905,3.3525,19.069,12.66539,113.85622
SHR,2015,2015-05-08 12:00:00,5.841,10.5555,0.2143,3.6272,19.162,12.65022,113.65086
SHR,2015,2015-05-08 12:00:00,5.864,10.5295,0.1984,3.6615,19.24,12.63481,113.44356
SHR,2015,2015-05-08 12:00:00,5.886,10.5029,0.1905,3.6615,19.31,12.62517,113.28662
SHR,2015,2015-05-08 12:00:00,5.908,10.4759,0.1984,3.7302,19.382,12.6178,113.14905
SHR,2015,2015-05-08 12:00:00,5.931,10.4489,0.1786,3.5929,19.458,12.61066,113.01375
SHR,2015,2015-05-08 12:00:00,5.961,10.4225,0.1944,3.3354,19.557,12.60469,112.89052
SHR,2015,2015-05-08 12:00:00,5.988,10.3967,0.1865,3.3697,19.647,12.5886,112.67843
SHR,2015,2015-05-08 12:00:00,6.011,10.3713,0.2103,3.301,19.72,12.57155,112.4589
SHR,2015,2015-05-08 12:00:00,6.029,10.3454,0.2063,3.3354,19.779,12.55846,112.27365
SHR,2015,2015-05-08 12:00:00,6.044,10.318,0.1865,3.404,19.831,12.54586,112.089
SHR,2015,2015-05-08 12:00:00,6.061,10.2882,0.1984,3.3525,19.884,12.53533,111.91676
SHR,2015,2015-05-08 12:00:00,6.085,10.2554,0.2103,3.3869,19.963,12.53001,111.78325
SHR,2015,2015-05-08 12:00:00,6.116,10.2194,0.1786,3.3697,20.065,12.51795,111.58138
SHR,2015,2015-05-08 12:00:00,6.148,10.1809,0.2103,3.1122,20.17,12.50687,111.3819
SHR,2015,2015-05-08 12:00:00,6.182,10.1418,0.2024,3.0435,20.281,12.49201,111.1474
SHR,2015,2015-05-08 12:00:00,6.21,10.1041,0.2024,3.1294,20.374,12.48444,110.98161
SHR,2015,2015-05-08 12:00:00,6.239,10.0689,0.1905,3.1809,20.47,12.45709,110.64676
SHR,2015,2015-05-08 12:00:00,6.272,10.0361,0.2024,3.3525,20.577,12.44509,110.45485
SHR,2015,2015-05-08 12:00:00,6.301,10.0047,0.1905,3.3697,20.672,12.41686,110.12271
SHR,2015,2015-05-08 12:00:00,6.326,9.9739,0.1944,3.3182,20.755,12.40596,109.94616
SHR,2015,2015-05-08 12:00:00,6.351,9.944,0.2103,3.3869,20.838,12.37037,109.55352
SHR,2015,2015-05-08 12:00:00,6.377,9.9152,0.1865,3.3354,20.921,12.36075,109.39395
SHR,2015,2015-05-08 12:00:00,6.409,9.8875,0.2539,3.3525,21.028,12.32059,108.96721
SHR,2015,2015-05-08 12:00:00,6.448,9.8608,0.2579,3.3182,21.154,12.29228,108.6482
SHR,2015,2015-05-08 12:00:00,6.482,9.8356,0.2658,3.3354,21.265,12.25695,108.27144
SHR,2015,2015-05-08 12:00:00,6.513,9.812,0.2658,3.3525,21.367,12.22087,107.89248
SHR,2015,2015-05-08 12:00:00,6.539,9.7894,0.2698,3.1465,21.452,12.19029,107.56499
