Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,9.591,8.9218,3.1223,10.31765
CCR,2014,2014-05-08 12:00:00,9.645,8.9053,3.1223,10.31111
CCR,2014,2014-05-08 12:00:00,9.691,8.8889,3.1144,10.32002
CCR,2014,2014-05-08 12:00:00,9.726,8.8731,2.8565,10.33071
CCR,2014,2014-05-08 12:00:00,9.749,8.8582,2.8645,10.3598
CCR,2014,2014-05-08 12:00:00,9.77,8.8442,2.8407,10.42441
CCR,2014,2014-05-08 12:00:00,9.8,8.8305,2.8446,10.4963
CCR,2014,2014-05-08 12:00:00,9.841,8.817,2.8526,10.5954
CCR,2014,2014-05-08 12:00:00,9.877,8.8035,2.8684,10.70059
CCR,2014,2014-05-08 12:00:00,9.904,8.7899,2.8446,10.80377
CCR,2014,2014-05-08 12:00:00,9.933,8.7758,2.8565,10.90194
CCR,2014,2014-05-08 12:00:00,9.978,8.7611,2.8764,10.95206
CCR,2014,2014-05-08 12:00:00,10.03,8.746,2.916,10.97984
CCR,2014,2014-05-08 12:00:00,10.074,8.7314,2.924,10.97736
CCR,2014,2014-05-08 12:00:00,10.103,8.7177,2.9398,10.92308
CCR,2014,2014-05-08 12:00:00,10.12,8.705,2.9359,10.85968
CCR,2014,2014-05-08 12:00:00,10.136,8.693,3.039,10.78195
CCR,2014,2014-05-08 12:00:00,10.164,8.6813,3.0549,10.69182
CCR,2014,2014-05-08 12:00:00,10.208,8.6696,3.0589,10.60193
CCR,2014,2014-05-08 12:00:00,10.257,8.6581,3.039,10.54122
CCR,2014,2014-05-08 12:00:00,10.297,8.647,2.8526,10.48869
CCR,2014,2014-05-08 12:00:00,10.332,8.6363,2.8764,10.45384
CCR,2014,2014-05-08 12:00:00,10.359,8.6263,2.8526,10.43431
CCR,2014,2014-05-08 12:00:00,10.383,8.6168,2.8446,10.40784
CCR,2014,2014-05-08 12:00:00,10.407,8.6075,2.8526,10.40679
CCR,2014,2014-05-08 12:00:00,10.442,8.5981,2.6224,10.39915
CCR,2014,2014-05-08 12:00:00,10.485,8.5882,2.5947,10.39863
CCR,2014,2014-05-08 12:00:00,10.534,8.5779,2.5986,10.39897
CCR,2014,2014-05-08 12:00:00,10.58,8.5676,2.6145,10.40714
CCR,2014,2014-05-08 12:00:00,10.612,8.5578,2.7375,10.41902
