Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,DO_mgL
BVR,2015,2015-05-15 12:00:00,3.713,13.8187,3.8523,4.5885,9.1491
BVR,2015,2015-05-15 12:00:00,3.724,13.7836,3.8682,4.5885,9.12028
BVR,2015,2015-05-15 12:00:00,3.739,13.7486,3.8563,4.5885,9.11164
BVR,2015,2015-05-15 12:00:00,3.759,13.7142,3.8563,4.4855,9.10445
BVR,2015,2015-05-15 12:00:00,3.777,13.6802,3.8484,4.537,9.10685
BVR,2015,2015-05-15 12:00:00,3.793,13.6457,4.3086,4.4512,9.10125
BVR,2015,2015-05-15 12:00:00,3.808,13.6108,4.3046,4.5198,9.09288
BVR,2015,2015-05-15 12:00:00,3.828,13.5765,4.3086,4.5542,9.07596
BVR,2015,2015-05-15 12:00:00,3.852,13.5436,4.3125,4.5885,9.04033
BVR,2015,2015-05-15 12:00:00,3.884,13.5121,4.5069,4.8288,8.99017
BVR,2015,2015-05-15 12:00:00,3.911,13.4818,4.503,4.7773,8.92601
BVR,2015,2015-05-15 12:00:00,3.93,13.4521,4.4911,4.8803,8.85036
BVR,2015,2015-05-15 12:00:00,3.948,13.4225,4.503,4.743,8.78082
BVR,2015,2015-05-15 12:00:00,3.967,13.3932,4.7172,4.537,8.70641
BVR,2015,2015-05-15 12:00:00,3.984,13.3648,4.7212,4.6057,8.65239
BVR,2015,2015-05-15 12:00:00,4.003,13.338,4.737,4.64,8.60769
BVR,2015,2015-05-15 12:00:00,4.026,13.3131,4.737,4.5027,8.57422
BVR,2015,2015-05-15 12:00:00,4.044,13.2905,5.0981,4.5027,8.54631
BVR,2015,2015-05-15 12:00:00,4.062,13.2694,5.0901,4.4512,8.51323
BVR,2015,2015-05-15 12:00:00,4.082,13.2488,5.11,4.5885,8.48848
BVR,2015,2015-05-15 12:00:00,4.093,13.2279,5.0941,4.537,8.45748
BVR,2015,2015-05-15 12:00:00,4.108,13.2067,5.0941,4.5198,8.42623
BVR,2015,2015-05-15 12:00:00,4.126,13.185,5.348,4.8288,8.382
BVR,2015,2015-05-15 12:00:00,4.14,13.1619,5.3401,4.7773,8.33239
BVR,2015,2015-05-15 12:00:00,4.156,13.1369,5.3559,4.7602,8.27624
BVR,2015,2015-05-15 12:00:00,4.168,13.1106,5.344,4.7773,8.21522
BVR,2015,2015-05-15 12:00:00,4.183,13.0832,5.4075,4.7945,8.1504
BVR,2015,2015-05-15 12:00:00,4.201,13.0545,5.3956,4.8117,8.07451
BVR,2015,2015-05-15 12:00:00,4.218,13.0238,5.3956,4.8632,8.00591
BVR,2015,2015-05-15 12:00:00,4.234,12.9906,5.4194,4.7945,7.93632
BVR,2015,2015-05-15 12:00:00,4.251,12.9548,5.6971,4.7945,7.86464
BVR,2015,2015-05-15 12:00:00,4.271,12.9173,5.7051,4.8288,7.80046
BVR,2015,2015-05-15 12:00:00,4.293,12.8799,5.7249,4.8803,7.73769
BVR,2015,2015-05-15 12:00:00,4.32,12.8443,5.717,4.8117,7.67681
BVR,2015,2015-05-15 12:00:00,4.345,12.811,5.709,4.8288,7.62486
BVR,2015,2015-05-15 12:00:00,4.372,12.7796,5.709,4.8632,7.57112
BVR,2015,2015-05-15 12:00:00,4.394,12.7494,5.7209,4.8288,7.52021
BVR,2015,2015-05-15 12:00:00,4.409,12.72,5.709,4.7773,7.46751
BVR,2015,2015-05-15 12:00:00,4.424,12.6917,5.7051,4.7945,7.42227
BVR,2015,2015-05-15 12:00:00,4.44,12.6654,5.7686,4.8975,7.36778
BVR,2015,2015-05-15 12:00:00,4.458,12.6409,5.7805,4.7258,7.31152
BVR,2015,2015-05-15 12:00:00,4.475,12.6162,5.7765,4.7945,7.26185
BVR,2015,2015-05-15 12:00:00,4.49,12.588,5.7844,4.949,7.20379
BVR,2015,2015-05-15 12:00:00,4.502,12.5546,6.1574,4.8117,7.1469
BVR,2015,2015-05-15 12:00:00,4.516,12.5178,6.1375,4.8288,7.09208
BVR,2015,2015-05-15 12:00:00,4.529,12.4811,6.1375,4.7945,7.03468
BVR,2015,2015-05-15 12:00:00,4.547,12.4472,6.1494,4.8632,6.97988
BVR,2015,2015-05-15 12:00:00,4.569,12.4172,6.2764,4.7945,6.91996
BVR,2015,2015-05-15 12:00:00,4.589,12.3892,6.2526,4.8117,6.8588
BVR,2015,2015-05-15 12:00:00,4.607,12.3583,6.2645,4.9147,6.79874
BVR,2015,2015-05-15 12:00:00,4.621,12.3202,6.2684,4.8288,6.73086
BVR,2015,2015-05-15 12:00:00,4.632,12.2753,6.324,4.846,6.65719
BVR,2015,2015-05-15 12:00:00,4.644,12.2261,6.324,4.8975,6.58679
BVR,2015,2015-05-15 12:00:00,4.66,12.1744,6.3359,4.8632,6.51636
BVR,2015,2015-05-15 12:00:00,4.675,12.1209,6.3359,4.7602,6.43525
BVR,2015,2015-05-15 12:00:00,4.69,12.0658,6.3279,4.8117,6.35713
BVR,2015,2015-05-15 12:00:00,4.704,12.01,6.3994,4.537,6.27521
BVR,2015,2015-05-15 12:00:00,4.721,11.9548,6.4033,4.537,6.20776
BVR,2015,2015-05-15 12:00:00,4.744,11.902,6.3756,4.5198,6.12683
BVR,2015,2015-05-15 12:00:00,4.766,11.8536,6.3954,4.6057,6.05056
BVR,2015,2015-05-15 12:00:00,4.79,11.8104,6.4509,4.537,5.98757
BVR,2015,2015-05-15 12:00:00,4.819,11.7722,6.4589,4.5542,5.92144
BVR,2015,2015-05-15 12:00:00,4.841,11.7377,6.4549,4.5885,5.86962
BVR,2015,2015-05-15 12:00:00,4.857,11.7055,6.4708,4.5885,5.81694
BVR,2015,2015-05-15 12:00:00,4.871,11.6742,6.5382,4.7602,5.75954
BVR,2015,2015-05-15 12:00:00,4.883,11.6435,6.5223,4.8975,5.7124
BVR,2015,2015-05-15 12:00:00,4.895,11.6137,6.5263,4.8288,5.65372
BVR,2015,2015-05-15 12:00:00,4.912,11.5852,6.5303,4.8288,5.60408
BVR,2015,2015-05-15 12:00:00,4.931,11.558,6.3795,5.3438,5.54783
BVR,2015,2015-05-15 12:00:00,4.948,11.5314,6.3835,5.3267,5.48907
BVR,2015,2015-05-15 12:00:00,4.96,11.5041,6.4113,5.3953,5.43988
BVR,2015,2015-05-15 12:00:00,4.973,11.4746,6.4073,5.3267,5.38576
BVR,2015,2015-05-15 12:00:00,4.985,11.4422,6.3994,5.3438,5.33422
BVR,2015,2015-05-15 12:00:00,4.995,11.408,6.2843,4.64,5.28726
BVR,2015,2015-05-15 12:00:00,5.012,11.3734,6.2764,4.5713,5.24213
BVR,2015,2015-05-15 12:00:00,5.036,11.3393,6.2645,4.4512,5.18854
BVR,2015,2015-05-15 12:00:00,5.058,11.3051,6.2605,4.5713,5.14476
BVR,2015,2015-05-15 12:00:00,5.077,11.2701,6.2129,4.2795,5.09499
BVR,2015,2015-05-15 12:00:00,5.094,11.2339,6.2089,4.2108,5.03781
BVR,2015,2015-05-15 12:00:00,5.109,11.1963,6.205,4.2623,4.99251
BVR,2015,2015-05-15 12:00:00,5.125,11.1579,6.2208,4.3138,4.94091
BVR,2015,2015-05-15 12:00:00,5.143,11.119,6.2169,4.537,4.89175
BVR,2015,2015-05-15 12:00:00,5.161,11.08,6.197,4.5198,4.84288
BVR,2015,2015-05-15 12:00:00,5.179,11.0414,6.201,4.5713,4.80492
BVR,2015,2015-05-15 12:00:00,5.2,11.004,6.2248,4.5885,4.76467
BVR,2015,2015-05-15 12:00:00,5.222,10.9685,6.0066,4.5198,4.72642
BVR,2015,2015-05-15 12:00:00,5.247,10.9353,5.9987,4.5885,4.69425
BVR,2015,2015-05-15 12:00:00,5.27,10.9047,6.0304,4.5542,4.65648
BVR,2015,2015-05-15 12:00:00,5.292,10.8761,6.0264,4.5542,4.62468
BVR,2015,2015-05-15 12:00:00,5.312,10.8493,5.9987,4.4168,4.60434
BVR,2015,2015-05-15 12:00:00,5.329,10.8237,6.1335,4.2795,4.57111
BVR,2015,2015-05-15 12:00:00,5.347,10.7988,6.1574,4.2967,4.54388
BVR,2015,2015-05-15 12:00:00,5.363,10.7742,6.1534,4.2795,4.51936
BVR,2015,2015-05-15 12:00:00,5.378,10.7495,6.1335,4.2623,4.49585
BVR,2015,2015-05-15 12:00:00,5.394,10.725,6.082,4.331,4.47395
BVR,2015,2015-05-15 12:00:00,5.412,10.701,6.0899,4.2967,4.45512
BVR,2015,2015-05-15 12:00:00,5.43,10.6774,6.0542,4.2795,4.43872
BVR,2015,2015-05-15 12:00:00,5.45,10.6533,6.0899,4.331,4.41267
BVR,2015,2015-05-15 12:00:00,5.465,10.6281,6.1018,4.2795,4.3953
BVR,2015,2015-05-15 12:00:00,5.475,10.6023,6.074,4.228,4.3764
BVR,2015,2015-05-15 12:00:00,5.491,10.5767,6.078,4.3138,4.35327
BVR,2015,2015-05-15 12:00:00,5.51,10.5506,6.0859,4.2623,4.3338
BVR,2015,2015-05-15 12:00:00,5.535,10.5227,5.8955,4.1937,4.31254
BVR,2015,2015-05-15 12:00:00,5.565,10.4938,5.8876,4.228,4.28578
BVR,2015,2015-05-15 12:00:00,5.586,10.4643,5.9034,4.2108,4.25822
BVR,2015,2015-05-15 12:00:00,5.605,10.4336,5.8876,4.2967,4.22924
BVR,2015,2015-05-15 12:00:00,5.626,10.4006,5.8915,4.228,4.19912
BVR,2015,2015-05-15 12:00:00,5.64,10.3652,6.0661,4.3653,4.17621
BVR,2015,2015-05-15 12:00:00,5.651,10.3291,6.0939,4.2967,4.14395
BVR,2015,2015-05-15 12:00:00,5.671,10.2947,6.0859,4.331,4.12095
BVR,2015,2015-05-15 12:00:00,5.701,10.2629,6.082,4.2623,4.10357
BVR,2015,2015-05-15 12:00:00,5.737,10.2336,6.0899,4.2967,4.08606
BVR,2015,2015-05-15 12:00:00,5.762,10.2059,6.0859,4.2108,4.07251
BVR,2015,2015-05-15 12:00:00,5.778,10.1794,6.0661,4.2108,4.06015
BVR,2015,2015-05-15 12:00:00,5.792,10.154,6.082,4.2967,4.04458
BVR,2015,2015-05-15 12:00:00,5.808,10.1298,6.3557,4.2795,4.03271
BVR,2015,2015-05-15 12:00:00,5.829,10.1065,6.3359,4.1937,4.02198
BVR,2015,2015-05-15 12:00:00,5.845,10.0841,6.3319,4.3138,4.00224
BVR,2015,2015-05-15 12:00:00,5.859,10.0625,6.3438,4.3482,3.98018
BVR,2015,2015-05-15 12:00:00,5.876,10.0422,6.5938,4.4855,3.95304
BVR,2015,2015-05-15 12:00:00,5.895,10.0228,6.57,4.5713,3.91554
BVR,2015,2015-05-15 12:00:00,5.917,10.0041,6.5819,4.5885,3.87323
BVR,2015,2015-05-15 12:00:00,5.938,9.9855,6.5938,4.5542,3.81758
BVR,2015,2015-05-15 12:00:00,5.953,9.9668,6.5858,4.5198,3.75877
BVR,2015,2015-05-15 12:00:00,5.965,9.9475,6.1455,4.331,3.69583
