Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,1.416,16.4578,1.0612,1.8531,26.897816,6.22025,63.64388,
FCR,2016,2016-05-16 12:00:00,1.415,16.4568,1.0638,1.8837,26.884674,6.2132,63.57033,
FCR,2016,2016-05-16 12:00:00,1.416,16.4556,1.0695,1.9049,26.894996,6.20619,63.49702,
FCR,2016,2016-05-16 12:00:00,1.416,16.4545,1.0795,1.92,26.909492,6.20197,63.45237,
FCR,2016,2016-05-16 12:00:00,1.416,16.4533,1.0905,1.9239,26.920005,6.20037,63.43448,
FCR,2016,2016-05-16 12:00:00,1.415,16.4521,1.0981,1.9222,26.923328,6.19186,63.34581,
FCR,2016,2016-05-16 12:00:00,1.413,16.4508,1.1017,1.911,26.906318,6.18505,63.27441,
FCR,2016,2016-05-16 12:00:00,1.412,16.4494,1.099,1.8804,26.886483,6.18137,63.23489,
FCR,2016,2016-05-16 12:00:00,1.414,16.448,1.0874,1.8315,26.882578,6.17421,63.15973,
FCR,2016,2016-05-16 12:00:00,1.416,16.447,1.0718,1.7776,26.877533,6.16831,63.09805,
FCR,2016,2016-05-16 12:00:00,1.415,16.4463,1.0578,1.7363,26.859982,6.1653,63.06638,
FCR,2016,2016-05-16 12:00:00,1.413,16.4461,1.0454,1.7126,26.847286,6.16035,63.01542,
FCR,2016,2016-05-16 12:00:00,1.406,16.4463,1.0321,1.7047,26.848085,6.15753,62.98685,
FCR,2016,2016-05-16 12:00:00,1.405,16.447,1.0193,1.7072,26.840548,6.15451,62.95693,
FCR,2016,2016-05-16 12:00:00,1.407,16.4482,1.009,1.715,26.820661,6.14809,62.89278,
FCR,2016,2016-05-16 12:00:00,1.412,16.4503,1.0022,1.7359,26.817187,6.14288,62.84227,
FCR,2016,2016-05-16 12:00:00,1.418,16.4534,0.999,1.7788,26.835209,6.13647,62.78079,
FCR,2016,2016-05-16 12:00:00,1.422,16.4572,0.9979,1.837,26.851482,6.12916,62.71105,
FCR,2016,2016-05-16 12:00:00,1.42,16.4615,0.9984,1.8917,26.860325,6.12134,62.63671,
FCR,2016,2016-05-16 12:00:00,1.417,16.466,1.002,1.9298,26.860089,6.10918,62.51825,
FCR,2016,2016-05-16 12:00:00,1.414,16.4702,1.0102,1.9457,26.846702,6.0969,62.39804,
FCR,2016,2016-05-16 12:00:00,1.414,16.4735,1.02,1.9434,26.836633,6.08846,62.316,
FCR,2016,2016-05-16 12:00:00,1.417,16.4754,1.0251,1.9384,26.845233,6.07896,62.22128,
FCR,2016,2016-05-16 12:00:00,1.42,16.4761,1.0217,1.9351,26.866778,6.07949,62.22759,
FCR,2016,2016-05-16 12:00:00,1.42,16.476,1.0067,1.9326,26.874953,6.07036,62.13398,
FCR,2016,2016-05-16 12:00:00,1.418,16.4756,0.9761,1.9349,26.863924,6.06877,62.11723,
FCR,2016,2016-05-16 12:00:00,1.416,16.475,0.9373,1.9391,26.858803,6.06243,62.05151,
FCR,2016,2016-05-16 12:00:00,1.415,16.4741,0.9057,1.9405,26.876259,6.06525,62.07921,
FCR,2016,2016-05-16 12:00:00,1.416,16.4732,0.883,1.9408,26.910927,6.05352,61.958,
FCR,2016,2016-05-16 12:00:00,1.417,16.4726,0.8642,1.9412,26.948007,6.05305,61.95242,
FCR,2016,2016-05-16 12:00:00,1.416,16.4721,0.8486,1.9395,26.97334,6.05381,61.95955,
FCR,2016,2016-05-16 12:00:00,1.416,16.4718,0.8389,1.9398,26.973644,6.04133,61.83138,
FCR,2016,2016-05-16 12:00:00,1.412,16.4715,0.8387,1.9456,26.95501,6.04549,61.87356,
FCR,2016,2016-05-16 12:00:00,1.409,16.4714,0.8507,1.947,26.932509,6.04035,61.8209,
FCR,2016,2016-05-16 12:00:00,1.41,16.4715,0.8691,1.941,26.910158,6.03986,61.81598,
FCR,2016,2016-05-16 12:00:00,1.413,16.472,0.8807,1.9397,26.910053,6.03582,61.77526,
FCR,2016,2016-05-16 12:00:00,1.417,16.473,0.8804,1.945,26.932163,6.02902,61.70696,
FCR,2016,2016-05-16 12:00:00,1.416,16.4742,0.8677,1.9469,26.942309,6.01962,61.61238,
FCR,2016,2016-05-16 12:00:00,1.414,16.4756,0.8466,1.9424,26.933177,6.013,61.54643,
FCR,2016,2016-05-16 12:00:00,1.413,16.477,0.8285,1.9396,26.918363,6.00894,61.50662,
FCR,2016,2016-05-16 12:00:00,1.412,16.4778,0.8166,1.9423,26.911951,6.00151,61.43167,
FCR,2016,2016-05-16 12:00:00,1.413,16.4774,0.8058,1.9454,26.908224,5.99866,61.40198,
FCR,2016,2016-05-16 12:00:00,1.414,16.4761,0.7935,1.9486,26.904183,5.99302,61.34258,
FCR,2016,2016-05-16 12:00:00,1.415,16.4741,0.7827,1.9516,26.902759,5.98816,61.29019,
FCR,2016,2016-05-16 12:00:00,1.414,16.4721,0.7789,1.9507,26.897561,5.98999,61.30637,
FCR,2016,2016-05-16 12:00:00,1.414,16.4701,0.7839,1.9479,26.901228,5.99724,61.37795,
FCR,2016,2016-05-16 12:00:00,1.414,16.4682,0.8002,1.9447,26.916744,6.02138,61.62258,
FCR,2016,2016-05-16 12:00:00,1.414,16.4664,0.8245,1.9403,26.936223,6.06731,62.09025,
