Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,infTPloads_g,Notes
FCR,2013,2013-10-09 12:00:00,3.8,,56.47,5.4,6.8,5.5,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,5,,27.42,5.1,148,21.7,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,6.2,,34.39,0.7,363,27.8,,,,,,,,,
FCR,2013,2013-10-09 12:00:00,8,,32.07,4.7,410,35.2,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,0.1,,24.49,4.7,9.9,3.8,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,0.8,,22.62,5,9.9,5.6,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,1.6,,20.76,0.7,9.3,3.9,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,2.8,,20.76,1,16.6,6.1,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,3.8,,21.69,5.2,10.9,4.6,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,5,,19.83,5.2,93.3,13.8,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,6.2,,16.11,5.8,438,36,,,,,,,,,
FCR,2013,2013-10-16 12:00:00,8,,17.97,5,502,30.5,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,0.1,,35.97,5.2,8.4,5.3,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,0.8,,XXX,,6.3,4.1,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,1.6,,36.9,5,7.8,4.3,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,2.8,,19.21,5,6.2,0.5,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,3.8,,16.42,5.7,10.9,6.1,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,5,,17.35,5.9,89.4,8.6,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,6.2,,15.49,7.2,462,32.1,,,,,,,,,
FCR,2013,2013-10-23 12:00:00,8,,13.63,4.9,486,39.5,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,0.1,,27.99,4.2,20,7.4,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,0.8,,24.46,4.7,23.1,6.8,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,1.6,,25.34,4.5,31.1,8.2,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,2.8,,19.17,4.1,39.7,9.1,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,3.8,,19.17,4.6,43.3,9,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,5,,20.05,6,53.8,8.3,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,6.2,,17.4,5.6,54.4,8.6,,,,,,,,,
FCR,2013,2013-10-30 12:00:00,8,,20.05,4.6,55.7,10.6,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,0.1,,11.22,3.9,46.6,9.7,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,0.8,,12.99,3.6,43.1,9.8,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,1.6,,20.93,4.2,44.9,11.6,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,2.8,,19.17,4.5,48.3,61.2,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,3.8,,12.99,5,44.5,13.3,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,5,,12.11,4.7,44.6,13.8,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,6.2,,11.22,4,45.1,13.3,,,,,,,,,
FCR,2013,2013-11-06 12:00:00,8,,15.64,2.7,41.9,12.7,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,0.1,,,5.4,32.3,16.5,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,0.8,,,5.5,26.8,14.3,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,1.6,,,4.9,26.9,15.6,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,2.8,,,4.5,31,14.6,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,3.8,,,3.7,29.2,17.2,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,5,,,0.6,27.3,14.8,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,6.2,,,5.2,27,17.5,,,,,,,,,
FCR,2013,2013-11-20 12:00:00,8,,,5.7,31.1,15.4,,,,,,,,,
FCR,2013,2013-12-04 12:00:00,0.1,,,3.84,24.4,3.96,,,,,,,,,
