Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-04-03 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,11.86260417
FCR,2014,2014-04-04 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.16677083
FCR,2014,2014-04-05 12:00:00,125.0782178,2.084636964,111.5642469,1.859404115,180112.6337,5.452847829,0.090880797,2.18801364,10.69697917
FCR,2014,2014-04-06 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,9.392395833
FCR,2014,2014-04-07 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,8.711979167
FCR,2014,2014-04-08 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,10.10697917
FCR,2014,2014-04-09 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,9.637083333
FCR,2014,2014-04-10 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,10.49072917
FCR,2014,2014-04-11 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,11.74385417
FCR,2014,2014-04-12 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.78729167
FCR,2014,2014-04-13 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,13.745625
FCR,2014,2014-04-14 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,13.52333333
FCR,2014,2014-04-15 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,11.50135417
FCR,2014,2014-04-16 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,8.745208333
FCR,2014,2014-04-17 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,9.162916667
FCR,2014,2014-04-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,9.132708333
FCR,2014,2014-04-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,10.26322917
FCR,2014,2014-04-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,11.52197917
FCR,2014,2014-04-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.0828125
FCR,2014,2014-04-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.74479167
FCR,2014,2014-04-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.15916667
FCR,2014,2014-04-24 12:00:00,9.590885863,0.159848098,9.580978843,0.159682981,13810.87564,0.017339735,0.000288996,22.36875325,11.8853125
FCR,2014,2014-04-25 12:00:00,9.242999839,0.154049997,9.562067527,0.159367792,13309.91977,0.073381255,0.001223021,23.34923903,11.83604167
FCR,2014,2014-04-26 12:00:00,8.667335396,0.14445559,8.631032755,0.143850546,12480.96297,0.015204237,0.000253404,24.75174318,13.3246875
FCR,2014,2014-04-27 12:00:00,9.308248006,0.155137467,9.261025147,0.154350419,13403.87713,0.029829474,0.000497158,23.06300497,14.45895833
FCR,2014,2014-04-28 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,12.44739583
FCR,2014,2014-04-29 12:00:00,5.761967661,0.096032794,5.631085281,0.093851421,8297.233432,0.033760959,0.000562683,37.33342406,11.99645833
FCR,2014,2014-04-30 12:00:00,5.822293498,0.097038225,5.841315088,0.097355251,8384.102637,0.010515945,0.000175266,36.84743531,12.68052083
FCR,2014,2014-05-01 12:00:00,5.848280582,0.097471343,5.857585405,0.097626423,8421.524038,0.014415416,0.000240257,36.69370095,13.34791667
FCR,2014,2014-05-02 12:00:00,5.562677307,0.092711288,5.550867693,0.092514462,8010.255323,0.010639588,0.000177326,38.56845292,13.04666667
FCR,2014,2014-05-03 12:00:00,5.497587001,0.09162645,5.502909289,0.091715155,7916.525282,0.01108245,0.000184708,39.02669293,13.29229167
FCR,2014,2014-05-04 12:00:00,5.505304547,0.091755076,5.502909289,0.091715155,7927.638548,0.012221997,0.0002037,38.97497272,13.66979167
FCR,2014,2014-05-05 12:00:00,5.452031686,0.090867195,5.463044816,0.091050747,7850.925627,0.009914536,0.000165242,39.34999977,13.63166667
FCR,2014,2014-05-06 12:00:00,5.545516196,0.09242527,5.55887513,0.092647919,7985.543322,0.010878263,0.000181304,38.68869931,14.01635417
FCR,2014,2014-05-07 12:00:00,5.605887169,0.093431453,5.598955315,0.093315922,8072.477523,0.005361751,8.94E-05,38.2612008,14.53489583
