Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
BVR,2014,2014-08-13 12:00:00,4,2196,787.4,17.13,5437,<10,<0,1.07,1350,1589,<1,<1,<1,440.1,39.63,<1,<1,<1,<5,<0.5,<2.5,10.72,<0.1,<1,<1,<1,20.62,0.11,<1,<1,2191,779.4,17.13,5427,<10,<0,1.07,1350,1573,<1,<1,<1,345.1,19.77,<1,<1,<1,<5,<0.5,<2.5,10.69,<0.1,<1,<1,<1,19.4,0.08,<1,<1
BVR,2014,2014-08-13 12:00:00,8,2137,848.1,<5,5381,15.4,<0,1.09,1469,1997,<1,<1,<1,3539,2415,3.08,<1,<1,<5,<0.5,<2.5,13.09,<0.1,<1,<1,<1,73.24,0.04,<1,<1,2106,839.4,<5,5348,15.4,<0,1.09,1469,1997,<1,<1,<1,3539,2415,3.08,<1,<1,<5,<0.5,<2.5,13.09,<0.1,<1,<1,<1,73.24,0.04,<1,<1
BVR,2014,2014-08-13 12:00:00,11,2187,895,<5,5891,15.74,<0,1.2,1625,2275,<1,<1,<1,24080,2533,3.24,<1,<1,<5,<0.5,<2.5,15.32,<0.1,<1,<1,<1,94.93,0.06,<1,<1,2179,885.1,<5,5811,15.74,<0,1.2,1625,2240,<1,<1,<1,23590,2502,3.19,<1,<1,<5,<0.5,<2.5,15.32,<0.1,<1,<1,<1,89.99,0.04,<1,<1
BVR,2014,2014-09-04 12:00:00,0.1,1998,731.9,13,5133,<10,<0,<0,1303,1505,<1,<1,<1,298.1,12.5,<1,<1,<1,<5,<0.5,<2.5,10.7,<0.1,<1,<1,<1,17.7,0.1,<1,<1,1998,725.2,12.4,5082,<10,<0,<0,1303,1505,<1,<1,<1,214.9,8,<1,<1,<1,<5,<0.5,<2.5,10.6,<0.1,<1,<1,<1,16.8,0.1,<1,<1
BVR,2014,2014-09-04 12:00:00,4,1963,775.9,10.6,5051,<10,<0,<0,1344,1735,<1,<1,<1,430.3,56.2,<1,<1,<1,<5,<0.5,<2.5,12.2,<0.1,<1,<1,<1,27.4,0.1,<1,<1,1963,775.9,9.2,5032,<10,<0,<0,1344,1720,<1,<1,<1,263.6,40.1,<1,<1,<1,<5,<0.5,<2.5,12,<0.1,<1,<1,<1,26,0.1,<1,<1
BVR,2014,2014-09-04 12:00:00,8,1906,788.9,<5,4959,22.9,<0,<0,1436,1936,<1,<1,<1,4329,3338,4.2,<1,<1,<5,<0.5,<2.5,13.7,<0.1,<1,<1,<1,109.7,0.1,<1,<1,1906,788.9,<5,4959,22.9,<0,<0,1436,1917,<1,<1,<1,4155,3338,4.1,<1,<1,<5,<0.5,<2.5,13.3,<0.1,<1,<1,<1,95.7,0,<1,<1
BVR,2014,2014-09-04 12:00:00,11,1959,831.2,<5,5516,15.7,<0,<0,1565,2253,<1,<1,<1,26700,2806,3.3,<1,<1,<5,<0.5,<2.5,15.6,<0.1,<1,<1,<1,111.2,0,<1,<1,1959,829.3,<5,5504,15.7,<0,<0,1565,2225,<1,<1,<1,26700,2792,3.3,<1,<1,<5,<0.5,<2.5,15.5,<0.1,<1,<1,<1,107.2,0,<1,<1
BVR,2014,2014-09-25 12:00:00,0.1,2301,837,9.9,6038,<10,1.5,1.2,1464,1777,<1,<1,<1,376.6,20.2,<1,<1,<1,<5,<0.5,<2.5,12.1,0.4,<1,<1,<1,23.3,0.1,<1,<1,2301,837,8.8,6038,<10,1.5,1.2,1464,1777,<1,<1,<1,228.5,9.8,<1,<1,<1,<5,<0.5,<2.5,12.1,0.4,<1,<1,<1,22.2,0.1,<1,<1
BVR,2014,2014-09-25 12:00:00,4,2287,839.8,9.4,6029,<10,1.3,1.2,1466,1780,<1,<1,<1,338.1,20.2,<1,<1,<1,<5,<0.5,<2.5,12.1,0.3,<1,<1,<1,22.8,0.1,<1,<1,2287,839.8,9.4,6029,<10,1.3,1.2,1466,1780,<1,<1,<1,241.5,10.3,<1,<1,<1,<5,<0.5,<2.5,12.1,0.3,<1,<1,<1,22,0.1,<1,<1
BVR,2014,2014-09-25 12:00:00,8,2209,858.6,5.5,5908,12.3,0.8,1.2,1536,2072,<1,<1,<1,7359,2118,2,<1,<1,<5,<0.5,<2.5,14,0.3,<1,<1,<1,77.6,0.1,<1,<1,2209,858.6,5.5,5908,12.3,0.8,1.2,1536,2072,<1,<1,<1,7186,2118,2,<1,<1,<5,<0.5,<2.5,13.9,0.3,<1,<1,<1,71.9,0,<1,<1
BVR,2014,2014-09-25 12:00:00,11,2191,897.3,<5,6369,14.2,0.8,1.2,1720,2454,<1,<1,<1,34790,3412,3.5,<1,<1,<5,<0.5,<2.5,17.3,0.6,<1,<1,<1,137.7,0,<1,<1,2191,897.3,<5,6369,14.2,0.8,1.2,1720,2454,<1,<1,<1,34790,3412,3.5,<1,<1,<5,<0.5,<2.5,17.3,0.6,<1,<1,<1,134.5,0,<1,<1
